CompanyName,Category,ServiceType
Google Workspace,Yazılım/SaaS,Bulut e-posta ve ofis hizmetleri
Adobe Creative Cloud,Yazılım/SaaS,Grafik/multimedya tasarım yazılımları aboneliği
Salesforce,Yazılım/SaaS,CRM (müşteri ilişkileri) platformu aboneliği
AWS (Amazon Web Services),Yazılım/SaaS,Bulut bilişim hizmetleri (sunucu, depolama, veritabanı)
Microsoft Azure,Yazılım/SaaS,Bulut bilişim hizmetleri
Zoom,Yazılım/SaaS,Video konferans ve uzaktan iletişim hizmeti
Slack,Yazılım/SaaS,Kurumsal iletişim ve işbirliği platformu
Atlassian Jira,Yazılım/SaaS,Proje ve iş takibi platformu
Atlassian Confluence,Yazılım/SaaS,Bilgi/döküman yönetimi platformu
Dropbox,Yazılım/SaaS,Bulut dosya depolama ve paylaşım hizmeti
Box,Yazılım/SaaS,Bulut dosya depolama ve işbirliği hizmeti
GitHub,Yazılım/SaaS,Kod paylaşım ve sürüm kontrol platformu
GitLab,Yazılım/SaaS,Kod paylaşım ve CI/CD platformu
Canva,Yazılım/SaaS,Grafik tasarım araçları (çevrimiçi)
Asana,Yazılım/SaaS,Proje ve iş yönetim platformu
Trello,Yazılım/SaaS,Proje panoları ve iş takibi platformu
DocuSign,Yazılım/SaaS,Elektronik imza ve doküman yönetimi hizmeti
Eventbrite,Yazılım/SaaS,Etkinlik ve bilet yönetim platformu
Grammarly,Yazılım/SaaS,Yazım denetimi ve dilbilgisi hizmeti
Webflow,Yazılım/SaaS,Web sitesi tasarım ve barındırma platformu
HubSpot,Yazılım/SaaS,Pazarlama ve CRM otomasyon platformu
Mailchimp,Yazılım/SaaS,E-posta pazarlama platformu
SurveyMonkey,Yazılım/SaaS,Çevrimiçi anket platformu
Zendesk,Yazılım/SaaS,Müşteri destek sistemi
ServiceNow,Yazılım/SaaS,BT hizmet yönetimi platformu
Twilio,Yazılım/SaaS,Bulut iletişim API’ları
Autodesk,Yazılım/SaaS,3D tasarım ve mühendislik yazılımları aboneliği
Shopify,Yazılım/SaaS,E-ticaret mağaza platformu
Amazon Prime,Perakende/Üyelik,Ücretsiz kargo, Prime Video/Müzik gibi çoklu hizmet aboneliği
Costco,Perakende/Üyelik,Depo mağaza üyeliği (indirimli alışveriş)
Sam’s Club,Perakende/Üyelik,Depo mağaza üyeliği (indirimli alışveriş)
HelloFresh,Tüketici Ürünleri,Hazır yemek kiti aboneliği
Blue Apron,Tüketici Ürünleri,Yemek kiti aboneliği
Dollar Shave Club,Tüketici Ürünleri,Tıraş bıçağı aboneliği
Birchbox,Tüketici Ürünleri,Güzellik ürünleri kutusu aboneliği
BarkBox,Evcil Hayvan,Köpek mamaları/oyuncak aylık kutu aboneliği
Graze,Tüketici Ürünleri,Atıştırmalık abonelik kutuları
Patreon,İçerik,Yaratıcılara bağış/abonelik platformu
OnlyFans,İçerik,Yaratıcı içerik (yetişkin) abonelik platformu
